dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time,attn_entropy_l1,attn_entropy_l2
Cora,GAT,0,0.01,Vanilla,NA,0.5701106786727905,486,3.545474052429199,2.2994232177734375,0.2882077395915985
Cora,GAT,0,0.01,Identity,NA,0.5147601366043091,248,1.9432156085968018,2.2854325771331787,0.28821587562561035
Cora,GAT,0,0.01,Shuffled,NA,0.3892988860607147,275,1.9489068984985352,2.301299810409546,0.28815582394599915
Cora,GAT,0,0.01,Gaussian,0.1,0.46125462651252747,194,1.5369703769683838,2.2482810020446777,0.28819286823272705
Cora,GAT,0,0.01,Gaussian,0.3,0.43357935547828674,293,2.0452420711517334,2.2006990909576416,0.2880246639251709
Cora,GAT,0,0.01,Gaussian,0.5,0.4354243576526642,293,2.081169366836548,2.089320182800293,0.287619411945343
Cora,GAT,0,0.01,EdgeDrop,NA,0.5940959453582764,228,2.186617851257324,2.3896687030792236,0.29880720376968384
Cora,GAT,0,0.03,Vanilla,NA,0.7638376355171204,558,3.464916706085205,2.2992119789123535,0.28809696435928345
Cora,GAT,0,0.03,Identity,NA,0.6383764147758484,174,1.518366813659668,2.2819201946258545,0.2881479561328888
Cora,GAT,0,0.03,Shuffled,NA,0.5018450021743774,378,2.517085552215576,2.2930045127868652,0.2880832254886627
Cora,GAT,0,0.03,Gaussian,0.1,0.5608856081962585,205,1.604992151260376,2.2333312034606934,0.28814366459846497
Cora,GAT,0,0.03,Gaussian,0.3,0.5313653349876404,213,1.8608195781707764,2.2102832794189453,0.2880293130874634
Cora,GAT,0,0.03,Gaussian,0.5,0.553505539894104,322,2.4087724685668945,2.1517910957336426,0.28791648149490356
Cora,GAT,0,0.03,EdgeDrop,NA,0.7361623644828796,185,1.4760558605194092,2.388075828552246,0.29873090982437134
Cora,GAT,0,0.05,Vanilla,NA,0.785977840423584,248,1.8165953159332275,2.301774263381958,0.28816697001457214
Cora,GAT,0,0.05,Identity,NA,0.6568265557289124,162,1.4822230339050293,2.2862284183502197,0.2881951332092285
Cora,GAT,0,0.05,Shuffled,NA,0.5369004011154175,377,2.5211899280548096,2.2951431274414062,0.28808924555778503
Cora,GAT,0,0.05,Gaussian,0.1,0.6014760136604309,122,1.1922857761383057,2.2584400177001953,0.2880949378013611
Cora,GAT,0,0.05,Gaussian,0.3,0.5867158770561218,297,2.4607317447662354,2.244361162185669,0.28784891963005066
Cora,GAT,0,0.05,Gaussian,0.5,0.5774908065795898,322,2.1962954998016357,2.2263362407684326,0.2881492078304291
Cora,GAT,0,0.05,EdgeDrop,NA,0.7693727016448975,409,2.6657462120056152,2.387295722961426,0.29895395040512085
Cora,GAT,0,0.1,Vanilla,NA,0.8597785830497742,249,1.8555033206939697,2.301734209060669,0.28813302516937256
Cora,GAT,0,0.1,Identity,NA,0.7250922322273254,162,1.4795920848846436,2.283210515975952,0.28818467259407043
Cora,GAT,0,0.1,Shuffled,NA,0.5645756721496582,311,2.4426112174987793,2.2954065799713135,0.2879731059074402
Cora,GAT,0,0.1,Gaussian,0.1,0.6974169611930847,120,1.3077483177185059,2.2650058269500732,0.2881118059158325
Cora,GAT,0,0.1,Gaussian,0.3,0.6771217584609985,297,2.1049604415893555,2.2438435554504395,0.28805357217788696
Cora,GAT,0,0.1,Gaussian,0.5,0.6918819546699524,155,1.3416852951049805,2.1964352130889893,0.28795504570007324
Cora,GAT,0,0.1,EdgeDrop,NA,0.8284133076667786,184,1.5064756870269775,2.388150453567505,0.2990086078643799
Cora,GAT,1,0.01,Vanilla,NA,0.7324723601341248,316,2.214996576309204,2.302811622619629,0.2881862223148346
Cora,GAT,1,0.01,Identity,NA,0.44464945793151855,109,1.1449613571166992,2.2959163188934326,0.28821608424186707
Cora,GAT,1,0.01,Shuffled,NA,0.3819188177585602,199,1.7580139636993408,2.3015224933624268,0.28808122873306274
Cora,GAT,1,0.01,Gaussian,0.1,0.4095940887928009,79,1.1793811321258545,2.2781260013580322,0.2877667546272278
Cora,GAT,1,0.01,Gaussian,0.3,0.39667898416519165,122,1.1787588596343994,2.2086098194122314,0.28720933198928833
Cora,GAT,1,0.01,Gaussian,0.5,0.37084871530532837,276,1.9931764602661133,2.0227367877960205,0.28507229685783386
Cora,GAT,1,0.01,EdgeDrop,NA,0.6918819546699524,448,2.9125473499298096,2.3905928134918213,0.2992502748966217
