dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time,attn_entropy_l1,attn_entropy_l2,rep_variance
CiteSeer,GAT,3,0.05,Gaussian,0.3,0.3933933973312378,327,2.8254687786102295,2.3398241996765137,0.30498170852661133,5.33052921295166
CiteSeer,GAT,3,0.05,Gaussian,0.5,0.41291293501853943,558,3.7187130451202393,2.2180533409118652,0.30518561601638794,6.729212760925293
CiteSeer,GAT,3,0.05,EdgeDrop,NA,0.6996996998786926,172,1.5414636135101318,2.451770067214966,0.3061939477920532,0.4981708526611328
CiteSeer,GAT,3,0.1,Vanilla,NA,0.7387387752532959,138,1.3809406757354736,2.445321798324585,0.30552828311920166,0.6020981073379517
CiteSeer,GAT,3,0.1,Identity,NA,0.5360360741615295,174,1.5485849380493164,2.4317409992218018,0.30567002296447754,0.5766952037811279
CiteSeer,GAT,3,0.1,Shuffled,NA,0.4099099338054657,263,2.2289631366729736,2.4452672004699707,0.3049887716770172,0.1401013433933258
CiteSeer,GAT,3,0.1,Gaussian,0.1,0.46696698665618896,106,1.4594428539276123,2.3990490436553955,0.3052276074886322,3.3493995666503906
CiteSeer,GAT,3,0.1,Gaussian,0.3,0.4654654860496521,166,1.5279061794281006,2.33593487739563,0.3054746389389038,5.09984827041626
CiteSeer,GAT,3,0.1,Gaussian,0.5,0.45045045018196106,317,2.3919179439544678,2.301996946334839,0.30516085028648376,6.061415672302246
CiteSeer,GAT,3,0.1,EdgeDrop,NA,0.7222222685813904,172,1.5364480018615723,2.4518024921417236,0.30630937218666077,0.5528050065040588
CiteSeer,GAT,4,0.01,Vanilla,NA,0.46846848726272583,76,0.9892392158508301,2.445361375808716,0.3055979311466217,0.1794670820236206
CiteSeer,GAT,4,0.01,Identity,NA,0.31381383538246155,274,2.0728759765625,2.4340713024139404,0.30566278100013733,0.169334277510643
CiteSeer,GAT,4,0.01,Shuffled,NA,0.25375375151634216,98,1.1296510696411133,2.4452168941497803,0.3056027293205261,0.05919451639056206
CiteSeer,GAT,4,0.01,Gaussian,0.1,0.2852852940559387,68,1.1565470695495605,2.4204630851745605,0.30564653873443604,0.8154429197311401
CiteSeer,GAT,4,0.01,Gaussian,0.3,0.30180180072784424,159,1.6754584312438965,2.219053268432617,0.3044220507144928,2.159390449523926
CiteSeer,GAT,4,0.01,Gaussian,0.5,0.27477478981018066,28,0.7263884544372559,1.8010071516036987,0.2875818908214569,3.4503512382507324
CiteSeer,GAT,4,0.01,EdgeDrop,NA,0.4924924969673157,184,1.6128511428833008,2.438901901245117,0.30487316846847534,0.23069855570793152
CiteSeer,GAT,4,0.03,Vanilla,NA,0.6516516804695129,176,1.5547230243682861,2.4452223777770996,0.3056783080101013,0.5302900075912476
CiteSeer,GAT,4,0.03,Identity,NA,0.41591593623161316,166,1.4816677570343018,2.4308035373687744,0.30567190051078796,0.3603893220424652
CiteSeer,GAT,4,0.03,Shuffled,NA,0.27027028799057007,125,1.2670845985412598,2.445140838623047,0.3053535223007202,0.09910888969898224
CiteSeer,GAT,4,0.03,Gaussian,0.1,0.3678678870201111,253,2.0073060989379883,2.397730827331543,0.30556097626686096,2.7168166637420654
CiteSeer,GAT,4,0.03,Gaussian,0.3,0.37837839126586914,351,2.9341201782226562,2.3503663539886475,0.3054417073726654,4.966229438781738
CiteSeer,GAT,4,0.03,Gaussian,0.5,0.3678678870201111,351,2.546818256378174,2.2257988452911377,0.30534467101097107,4.981828212738037
CiteSeer,GAT,4,0.03,EdgeDrop,NA,0.6126126050949097,239,1.9213054180145264,2.438908338546753,0.3048204779624939,0.5288301706314087
CiteSeer,GAT,4,0.05,Vanilla,NA,0.684684693813324,81,1.015486240386963,2.445359230041504,0.305591344833374,0.39836668968200684
CiteSeer,GAT,4,0.05,Identity,NA,0.4519519507884979,121,1.2527844905853271,2.433987855911255,0.30564644932746887,0.3727959096431732
CiteSeer,GAT,4,0.05,Shuffled,NA,0.31081080436706543,342,2.512305974960327,2.445280075073242,0.30555567145347595,0.1724257469177246
CiteSeer,GAT,4,0.05,Gaussian,0.1,0.43393394351005554,170,1.8529906272888184,2.4139389991760254,0.30537062883377075,2.8130042552948
CiteSeer,GAT,4,0.05,Gaussian,0.3,0.4369369447231293,284,2.268648624420166,2.3501524925231934,0.3052288591861725,5.0360260009765625
CiteSeer,GAT,4,0.05,Gaussian,0.5,0.4234234392642975,614,4.006989479064941,2.3281922340393066,0.3050069212913513,7.4860334396362305
CiteSeer,GAT,4,0.05,EdgeDrop,NA,0.6456456780433655,172,1.5205190181732178,2.4389967918395996,0.30477651953697205,0.49129652976989746
CiteSeer,GAT,4,0.1,Vanilla,NA,0.695195198059082,81,1.0181736946105957,2.4453232288360596,0.30564865469932556,0.4897090792655945
CiteSeer,GAT,4,0.1,Identity,NA,0.5180180072784424,121,1.2257425785064697,2.433696746826172,0.30564478039741516,0.5178081393241882
CiteSeer,GAT,4,0.1,Shuffled,NA,0.42042043805122375,346,2.916116237640381,2.44533109664917,0.30549201369285583,0.16451139748096466
CiteSeer,GAT,4,0.1,Gaussian,0.1,0.48048049211502075,123,1.251002311706543,2.409318208694458,0.30556362867355347,3.4507968425750732
CiteSeer,GAT,4,0.1,Gaussian,0.3,0.4864864945411682,284,2.168900966644287,2.369093894958496,0.30548951029777527,6.362982749938965
CiteSeer,GAT,4,0.1,Gaussian,0.5,0.4789789915084839,377,2.6875030994415283,2.324234962463379,0.3054451048374176,6.86198616027832
CiteSeer,GAT,4,0.1,EdgeDrop,NA,0.7012012004852295,172,1.569849967956543,2.4390358924865723,0.3046802580356598,0.5950046181678772
