dataset,model,seed,label_rate,ablation,noise_level,accuracy,best_epoch,train_time
CiteSeer,GraphSAGE,2,0.01,Vanilla,,0.5585585832595825,126,1.2052569389343262
CiteSeer,GraphSAGE,2,0.01,Identity,,0.25075075030326843,64,0.6849234104156494
CiteSeer,GraphSAGE,2,0.01,Shuffled,,0.21471472084522247,17,0.44200801849365234
CiteSeer,GraphSAGE,2,0.01,Gaussian,0.1,0.18468469381332397,3,0.3703768253326416
CiteSeer,GraphSAGE,2,0.01,Gaussian,0.3,0.1831831932067871,4,0.3768942356109619
CiteSeer,GraphSAGE,2,0.01,Gaussian,0.5,0.1876876950263977,3,0.36958980560302734
CiteSeer,GraphSAGE,2,0.01,EdgeDrop,,0.4879879951477051,88,0.9278886318206787
CiteSeer,GraphSAGE,2,0.03,Vanilla,,0.6366366744041443,137,1.251952886581421
CiteSeer,GraphSAGE,2,0.03,Identity,,0.25375375151634216,21,0.42803263664245605
CiteSeer,GraphSAGE,2,0.03,Shuffled,,0.19069069623947144,13,0.41898274421691895
CiteSeer,GraphSAGE,2,0.03,Gaussian,0.1,0.2687687873840332,6,0.3909263610839844
CiteSeer,GraphSAGE,2,0.03,Gaussian,0.3,0.22522522509098053,3,0.37146520614624023
CiteSeer,GraphSAGE,2,0.03,Gaussian,0.5,0.21921922266483307,3,0.37000107765197754
CiteSeer,GraphSAGE,2,0.03,EdgeDrop,,0.5825825929641724,147,1.3296236991882324
CiteSeer,GraphSAGE,2,0.05,Vanilla,,0.6876876950263977,61,0.757422685623169
CiteSeer,GraphSAGE,2,0.05,Identity,,0.2867867946624756,15,0.4046602249145508
CiteSeer,GraphSAGE,2,0.05,Shuffled,,0.21921922266483307,17,0.4611339569091797
CiteSeer,GraphSAGE,2,0.05,Gaussian,0.1,0.3003003001213074,5,0.3853428363800049
CiteSeer,GraphSAGE,2,0.05,Gaussian,0.3,0.27927929162979126,2,0.3631703853607178
CiteSeer,GraphSAGE,2,0.05,Gaussian,0.5,0.2597597539424896,2,0.3607521057128906
CiteSeer,GraphSAGE,2,0.05,EdgeDrop,,0.6351351737976074,28,0.5223333835601807
CiteSeer,GraphSAGE,2,0.1,Vanilla,,0.7117117047309875,102,1.0239601135253906
CiteSeer,GraphSAGE,2,0.1,Identity,,0.4354354441165924,48,0.5919930934906006
CiteSeer,GraphSAGE,2,0.1,Shuffled,,0.2777777910232544,116,1.114445447921753
CiteSeer,GraphSAGE,2,0.1,Gaussian,0.1,0.36936938762664795,8,0.40656471252441406
CiteSeer,GraphSAGE,2,0.1,Gaussian,0.3,0.3453453481197357,11,0.4288349151611328
CiteSeer,GraphSAGE,2,0.1,Gaussian,0.5,0.33183184266090393,9,0.41347193717956543
CiteSeer,GraphSAGE,2,0.1,EdgeDrop,,0.6891891956329346,151,1.3584604263305664
CiteSeer,GraphSAGE,3,0.01,Vanilla,,0.4654654860496521,11,0.40421152114868164
CiteSeer,GraphSAGE,3,0.01,Identity,,0.21621622145175934,21,0.4228973388671875
CiteSeer,GraphSAGE,3,0.01,Shuffled,,0.20570571720600128,11,0.4134349822998047
CiteSeer,GraphSAGE,3,0.01,Gaussian,0.1,0.22072072327136993,3,0.37983274459838867
CiteSeer,GraphSAGE,3,0.01,Gaussian,0.3,0.20570571720600128,8,0.4196631908416748
CiteSeer,GraphSAGE,3,0.01,Gaussian,0.5,0.21021021902561188,13,0.44243359565734863
CiteSeer,GraphSAGE,3,0.01,EdgeDrop,,0.43843844532966614,57,0.7151105403900146
CiteSeer,GraphSAGE,3,0.03,Vanilla,,0.7222222685813904,73,0.8188722133636475
CiteSeer,GraphSAGE,3,0.03,Identity,,0.28828829526901245,29,0.47513246536254883
CiteSeer,GraphSAGE,3,0.03,Shuffled,,0.2777777910232544,13,0.42021822929382324
CiteSeer,GraphSAGE,3,0.03,Gaussian,0.1,0.2867867946624756,7,0.40174031257629395
CiteSeer,GraphSAGE,3,0.03,Gaussian,0.3,0.24474474787712097,4,0.378753662109375
CiteSeer,GraphSAGE,3,0.03,Gaussian,0.5,0.23123124241828918,2,0.36250853538513184
CiteSeer,GraphSAGE,3,0.03,EdgeDrop,,0.6636636853218079,54,0.6972770690917969
CiteSeer,GraphSAGE,3,0.05,Vanilla,,0.7252252697944641,86,0.9172649383544922
CiteSeer,GraphSAGE,3,0.05,Identity,,0.30630630254745483,24,0.44086670875549316
CiteSeer,GraphSAGE,3,0.05,Shuffled,,0.2867867946624756,18,0.4541630744934082
CiteSeer,GraphSAGE,3,0.05,Gaussian,0.1,0.3213213384151459,4,0.38092660903930664
CiteSeer,GraphSAGE,3,0.05,Gaussian,0.3,0.3033033013343811,4,0.37979984283447266
CiteSeer,GraphSAGE,3,0.05,Gaussian,0.5,0.2957957983016968,2,0.36945605278015137
CiteSeer,GraphSAGE,3,0.05,EdgeDrop,,0.7012012004852295,94,1.0028572082519531
CiteSeer,GraphSAGE,3,0.1,Vanilla,,0.7312312722206116,66,0.8052151203155518
CiteSeer,GraphSAGE,3,0.1,Identity,,0.38588589429855347,18,0.40964388847351074
CiteSeer,GraphSAGE,3,0.1,Shuffled,,0.33483484387397766,106,1.0530474185943604
CiteSeer,GraphSAGE,3,0.1,Gaussian,0.1,0.3978978991508484,63,0.8069095611572266
CiteSeer,GraphSAGE,3,0.1,Gaussian,0.3,0.3723723888397217,8,0.4102447032928467
CiteSeer,GraphSAGE,3,0.1,Gaussian,0.5,0.3288288414478302,2,0.3723175525665283
CiteSeer,GraphSAGE,3,0.1,EdgeDrop,,0.7117117047309875,24,0.4992337226867676
CiteSeer,GraphSAGE,4,0.01,Vanilla,,0.5495495796203613,297,2.0222184658050537
CiteSeer,GraphSAGE,4,0.01,Identity,,0.2222222238779068,7,0.34302306175231934
CiteSeer,GraphSAGE,4,0.01,Shuffled,,0.2267267256975174,13,0.4184083938598633
CiteSeer,GraphSAGE,4,0.01,Gaussian,0.1,0.22972974181175232,30,0.5666069984436035
CiteSeer,GraphSAGE,4,0.01,Gaussian,0.3,0.20420420169830322,2,0.3653905391693115
CiteSeer,GraphSAGE,4,0.01,Gaussian,0.5,0.2012012004852295,2,0.36696338653564453
CiteSeer,GraphSAGE,4,0.01,EdgeDrop,,0.48948949575424194,176,1.5589540004730225
CiteSeer,GraphSAGE,4,0.03,Vanilla,,0.62912917137146,90,0.9660303592681885
CiteSeer,GraphSAGE,4,0.03,Identity,,0.2732732892036438,12,0.3727529048919678
CiteSeer,GraphSAGE,4,0.03,Shuffled,,0.23723724484443665,31,0.5423378944396973
CiteSeer,GraphSAGE,4,0.03,Gaussian,0.1,0.2687687873840332,12,0.4412667751312256
CiteSeer,GraphSAGE,4,0.03,Gaussian,0.3,0.24174174666404724,4,0.38231635093688965
CiteSeer,GraphSAGE,4,0.03,Gaussian,0.5,0.2477477490901947,6,0.3979370594024658
CiteSeer,GraphSAGE,4,0.03,EdgeDrop,,0.56456458568573,22,0.4827723503112793
CiteSeer,GraphSAGE,4,0.05,Vanilla,,0.6591591835021973,74,0.8324618339538574
CiteSeer,GraphSAGE,4,0.05,Identity,,0.33033034205436707,19,0.41635990142822266
CiteSeer,GraphSAGE,4,0.05,Shuffled,,0.25525525212287903,20,0.47182440757751465
CiteSeer,GraphSAGE,4,0.05,Gaussian,0.1,0.31831833720207214,8,0.413189172744751
CiteSeer,GraphSAGE,4,0.05,Gaussian,0.3,0.2852852940559387,11,0.43486499786376953
CiteSeer,GraphSAGE,4,0.05,Gaussian,0.5,0.2642642855644226,3,0.3763463497161865
CiteSeer,GraphSAGE,4,0.05,EdgeDrop,,0.6051051020622253,21,0.4800236225128174
CiteSeer,GraphSAGE,4,0.1,Vanilla,,0.6876876950263977,41,0.6121418476104736
CiteSeer,GraphSAGE,4,0.1,Identity,,0.43393394351005554,39,0.539806604385376
CiteSeer,GraphSAGE,4,0.1,Shuffled,,0.3168168365955353,20,0.4877052307128906
CiteSeer,GraphSAGE,4,0.1,Gaussian,0.1,0.3468468487262726,4,0.3912949562072754
CiteSeer,GraphSAGE,4,0.1,Gaussian,0.3,0.35285285115242004,8,0.42731332778930664
CiteSeer,GraphSAGE,4,0.1,Gaussian,0.5,0.3288288414478302,2,0.36849379539489746
CiteSeer,GraphSAGE,4,0.1,EdgeDrop,,0.6486486792564392,20,0.47324657440185547
